Time,W/kg
-0.1980000304,-0.796875
-0.1639999978,-0.7838541269
-0.1416000538,-0.8056884855
-0.1336000844,-0.8327717632
-0.1256001151,-0.8681884855
-0.114400103,-0.897355184
-0.09360005454,-0.911938414
-0.08560008519,-0.9098551124
-0.0664001038,-0.8952717632
-0.05200004909,-0.8765218109
-0.03760008594,-0.8619384617
-0.03760008594,-0.8619384617
-0.01999998856,-0.849438414
-0.00400004985,-0.8348550647
-0.00400004985,-0.8348550647
0.01519993154,-0.8265217394
0.02319999245,-0.7890218347
0.02639994357,-0.7431884855
0.03280002892,-0.8015217632
0.03439991292,-0.839021787
0.03760004715,-0.8723550886
0.03760004715,-0.911938414
0.04079990672,-0.9556884617
0.05519996143,-0.9827717394
0.05839991255,-1.014021739
0.06319993078,-1.045271859
0.06959992458,-1.074438557
0.07600000993,-1.086938605
0.0935999242,-1.059855089
0.1015998936,-1.030688509
0.109600046,-1.001521811
0.1159999483,-0.9723551124
0.1223999421,-0.943188414
0.1271999603,-0.911938414
0.131999887,-0.8848551363
0.1351999296,-0.8556884378
0.1431999906,-0.8265217394
0.1511999599,-0.7973551601
0.1576000453,-0.7702717632
0.1624000635,-0.745271787
0.1703999413,-0.7181883901
0.1816000449,-0.6994384378
0.1816000449,-0.6994384378
0.2023999103,-0.7010010332
0.2215998917,-0.7015217394
0.2344000624,-0.7265218347
0.2488000255,-0.7515218109
0.2663999398,-0.7827718109
0.2839998541,-0.807771787
0.2999999759,-0.8348550647
0.3223999999,-0.8515218347
0.344800024,-0.8619384617
0.3735999503,-0.8619384617
0.3991999255,-0.8619384617
0.4247999007,-0.8661050647
0.4455999492,-0.880688414
0.4599999123,-0.9077718109
0.4711999244,-0.9306884855
0.4791999853,-0.9661050886
0.4888000217,-0.9973550886
0.4919999729,-1.026521787
0.4967998995,-1.068188652
0.5047999605,-1.105688557
0.5111998627,-1.149438605
0.5128000214,-1.184855089
0.5207998992,-1.211938605
0.5223998747,-1.236938581
0.5240000334,-1.270271763
0.5303999356,-1.305688605
0.5415999477,-1.339021787
0.5511999841,-1.368188605
0.5559999108,-1.393188581
0.5591998619,-1.420271859
0.570399874,-1.378605112
0.5783999349,-1.432771787
0.581599886,-1.403605208
0.5848000202,-1.326521859
0.5863999958,-1.366105184
0.5911999225,-1.286938652
0.5943998736,-1.257771835
0.5960000323,-1.186938629
0.5976000078,-1.222355112
0.5991999834,-1.10985516
0.6007999589,-1.147355184
0.6055998856,-1.072355136
0.6055998856,-1.028605089
0.6200000319,-1.007771835
0.6328000195,-0.9931884855
0.6471999826,-0.9765218347
0.6631999213,-0.9556884617
0.6791998601,-0.9265217632
0.6920000307,-0.9077718109
0.7048000183,-0.8911051601
0.7191999815,-0.8661050647
0.7383998713,-0.8431885093
0.7591999198,-0.8265217394
0.7815999439,-0.8161051124
0.7975998826,-0.8098550886
