time,power (W/kg)
-0.1907216159,0.1276638968
-0.1752577014,0.1511854003
-0.149484432,0.1590257818
-0.1365979152,0.1198231564
-0.128865958,0.04141826452
-0.1159792053,-0.03698662736
-0.1056700862,-0.1232322597
-0.08247421452,-0.1153918781
-0.05927834279,-0.08402963426
-0.04123703057,-0.03698662736
-0.02061855658,0.01005637955
-0.01804115885,0.01005637955
1.53E-07,0.033577883
0.01804122963,0.07278014948
0.01804122963,0.07278014948
0.02061862737,0.1433446598
0.03092798234,0.2609521771
0.03865993959,0.09630165294
0.03865993959,-0.0134651239
0.03865993959,-0.1153918781
0.04639189683,-0.225158655
0.06443297309,-0.3114042873
0.06701037082,-0.4760551704
0.06701037082,-0.4760551704
0.06701037082,-0.3898091792
0.08247428531,-0.5387789403
0.08247428531,-0.5387789403
0.09793819979,-0.4760551704
0.1082475548,-0.3898091792
0.115979512,-0.3114042873
0.126288631,-0.225158655
0.1314434265,-0.1389133816
0.136597986,-0.0526677493
0.1391753837,0.02573714258
0.1520619005,0.09630165294
0.15721646,0.1747069037
0.1649484172,0.2531117956
0.1752577722,0.3315166875
0.1907216867,0.3942408163
0.2113401607,0.4020811978
0.2345360324,0.3393574279
0.2474227851,0.2687929175
0.2654638614,0.1982284072
0.2809277759,0.1276638968
0.2989690881,0.08062088991
0.3221649598,0.01789676106
0.3453608316,-0.0134651239
0.3685567033,-0.0134651239
0.3994845323,-0.0134651239
0.4252578017,-0.02914624584
0.4536082329,-0.06834887123
0.4690721474,-0.1702752666
0.4845360619,-0.2565208989
0.4948454169,-0.3741284161
0.4948454169,-0.3741284161
0.4999999764,-0.4917359334
0.5103093314,-0.6015027102
0.5154638909,-0.7034294645
0.5257732459,-0.8131962413
0.5309278054,-0.922963736
0.5335052031,-1.01704975
0.5412371604,-1.095454283
0.5412371604,-1.095454283
0.5515462794,-1.181700274
0.5592782366,-1.362031561
0.5618556343,-1.267945547
0.5721649893,-1.28362631
0.5876289038,-1.362031561
0.5902060656,-1.2130618
0.5927834633,-1.095454283
0.5979380228,-0.9778467655
0.6005154206,-0.8916014921
0.6056699801,-0.7975154783
0.6082473778,-0.695588724
0.6082473778,-0.5779812068
0.6082473778,-0.4995766738
0.6134019373,-0.4054903011
0.6288658518,-0.3427661722
0.6520617235,-0.2800424023
0.6726804335,-0.2329993954
0.6855669502,-0.162434885
0.7061854242,-0.0997107562
0.7216493387,-0.03698662736
0.7448452104,0.02573714258
0.7680410822,0.07278014948
0.7860823944,0.08846127142
0.8067008684,0.09630165294
